stream,s t r e a m,"Input: stream Answer: s t r e a m
"
abuse,a b u s e,"Input: abuse Answer: a b u s e
"
chair,c h a i r,"Input: chair Answer: c h a i r
"
sample,s a m p l e,"Input: sample Answer: s a m p l e
"
warfare,w a r f a r e,"Input: warfare Answer: w a r f a r e
"
rivalry,r i v a l r y,"Input: rivalry Answer: r i v a l r y
"
airing,a i r i n g,"Input: airing Answer: a i r i n g
"
lighting,l i g h t i n g,"Input: lighting Answer: l i g h t i n g
"
biographer,b i o g r a p h e r,"Input: biographer Answer: b i o g r a p h e r
"
waste,w a s t e,"Input: waste Answer: w a s t e
"
experiment,e x p e r i m e n t,"Input: experiment Answer: e x p e r i m e n t
"
guide,g u i d e,"Input: guide Answer: g u i d e
"
multiplayer,m u l t i p l a y e r,"Input: multiplayer Answer: m u l t i p l a y e r
"
medicine,m e d i c i n e,"Input: medicine Answer: m e d i c i n e
"
participation,p a r t i c i p a t i o n,"Input: participation Answer: p a r t i c i p a t i o n
"
slave,s l a v e,"Input: slave Answer: s l a v e
"
transportation,t r a n s p o r t a t i o n,"Input: transportation Answer: t r a n s p o r t a t i o n
"
liquid,l i q u i d,"Input: liquid Answer: l i q u i d
"
institution,i n s t i t u t i o n,"Input: institution Answer: i n s t i t u t i o n
"
parent,p a r e n t,"Input: parent Answer: p a r e n t
"
salary,s a l a r y,"Input: salary Answer: s a l a r y
"
recovery,r e c o v e r y,"Input: recovery Answer: r e c o v e r y
"
count,c o u n t,"Input: count Answer: c o u n t
"
doubt,d o u b t,"Input: doubt Answer: d o u b t
"
revolution,r e v o l u t i o n,"Input: revolution Answer: r e v o l u t i o n
"
cinema,c i n e m a,"Input: cinema Answer: c i n e m a
"
cloud,c l o u d,"Input: cloud Answer: c l o u d
"
drummer,d r u m m e r,"Input: drummer Answer: d r u m m e r
"
cabinet,c a b i n e t,"Input: cabinet Answer: c a b i n e t
"
significance,s i g n i f i c a n c e,"Input: significance Answer: s i g n i f i c a n c e
"
neighborhood,n e i g h b o r h o o d,"Input: neighborhood Answer: n e i g h b o r h o o d
"
compound,c o m p o u n d,"Input: compound Answer: c o m p o u n d
"
legend,l e g e n d,"Input: legend Answer: l e g e n d
"
jump,j u m p,"Input: jump Answer: j u m p
"
inclusion,i n c l u s i o n,"Input: inclusion Answer: i n c l u s i o n
"
tale,t a l e,"Input: tale Answer: t a l e
"
wealth,w e a l t h,"Input: wealth Answer: w e a l t h
"
mate,m a t e,"Input: mate Answer: m a t e
"
ratio,r a t i o,"Input: ratio Answer: r a t i o
"
liner,l i n e r,"Input: liner Answer: l i n e r
"
journal,j o u r n a l,"Input: journal Answer: j o u r n a l
"
grandfather,g r a n d f a t h e r,"Input: grandfather Answer: g r a n d f a t h e r
"
throw,t h r o w,"Input: throw Answer: t h r o w
"
summit,s u m m i t,"Input: summit Answer: s u m m i t
"
descent,d e s c e n t,"Input: descent Answer: d e s c e n t
"
gender,g e n d e r,"Input: gender Answer: g e n d e r
"
playoff,p l a y o f f,"Input: playoff Answer: p l a y o f f
"
sentence,s e n t e n c e,"Input: sentence Answer: s e n t e n c e
"
beauty,b e a u t y,"Input: beauty Answer: b e a u t y
"
beating,b e a t i n g,"Input: beating Answer: b e a t i n g
"
heritage,h e r i t a g e,"Input: heritage Answer: h e r i t a g e
"
accommodate,a c c o m m o d a t e,"Input: accommodate Answer: a c c o m m o d a t e
"
altitude,a l t i t u d e,"Input: altitude Answer: a l t i t u d e
"
trend,t r e n d,"Input: trend Answer: t r e n d
"
humor,h u m o r,"Input: humor Answer: h u m o r
"
presentation,p r e s e n t a t i o n,"Input: presentation Answer: p r e s e n t a t i o n
"
agriculture,a g r i c u l t u r e,"Input: agriculture Answer: a g r i c u l t u r e
"
resident,r e s i d e n t,"Input: resident Answer: r e s i d e n t
"
sailing,s a i l i n g,"Input: sailing Answer: s a i l i n g
"
intervention,i n t e r v e n t i o n,"Input: intervention Answer: i n t e r v e n t i o n
"
fame,f a m e,"Input: fame Answer: f a m e
"
tribe,t r i b e,"Input: tribe Answer: t r i b e
"
mythology,m y t h o l o g y,"Input: mythology Answer: m y t h o l o g y
"
wine,w i n e,"Input: wine Answer: w i n e
"
confusion,c o n f u s i o n,"Input: confusion Answer: c o n f u s i o n
"
error,e r r o r,"Input: error Answer: e r r o r
"
answer,a n s w e r,"Input: answer Answer: a n s w e r
"
victim,v i c t i m,"Input: victim Answer: v i c t i m
"
worship,w o r s h i p,"Input: worship Answer: w o r s h i p
"
fate,f a t e,"Input: fate Answer: f a t e
"
sight,s i g h t,"Input: sight Answer: s i g h t
"
jurisdiction,j u r i s d i c t i o n,"Input: jurisdiction Answer: j u r i s d i c t i o n
"
knee,k n e e,"Input: knee Answer: k n e e
"
observation,o b s e r v a t i o n,"Input: observation Answer: o b s e r v a t i o n
"
interaction,i n t e r a c t i o n,"Input: interaction Answer: i n t e r a c t i o n
"
voyage,v o y a g e,"Input: voyage Answer: v o y a g e
"
girlfriend,g i r l f r i e n d,"Input: girlfriend Answer: g i r l f r i e n d
"
advancing,a d v a n c i n g,"Input: advancing Answer: a d v a n c i n g
"
sculpture,s c u l p t u r e,"Input: sculpture Answer: s c u l p t u r e
"
principle,p r i n c i p l e,"Input: principle Answer: p r i n c i p l e
"
demo,d e m o,"Input: demo Answer: d e m o
"
fossil,f o s s i l,"Input: fossil Answer: f o s s i l
"
streak,s t r e a k,"Input: streak Answer: s t r e a k
"
lifetime,l i f e t i m e,"Input: lifetime Answer: l i f e t i m e
"
infrastructure,i n f r a s t r u c t u r e,"Input: infrastructure Answer: i n f r a s t r u c t u r e
"
fee,f e e,"Input: fee Answer: f e e
"
disturbance,d i s t u r b a n c e,"Input: disturbance Answer: d i s t u r b a n c e
"
gift,g i f t,"Input: gift Answer: g i f t
"
variation,v a r i a t i o n,"Input: variation Answer: v a r i a t i o n
"
tension,t e n s i o n,"Input: tension Answer: t e n s i o n
"
tag,t a g,"Input: tag Answer: t a g
"
holiday,h o l i d a y,"Input: holiday Answer: h o l i d a y
"
impression,i m p r e s s i o n,"Input: impression Answer: i m p r e s s i o n
"
naming,n a m i n g,"Input: naming Answer: n a m i n g
"
pack,p a c k,"Input: pack Answer: p a c k
"
shock,s h o c k,"Input: shock Answer: s h o c k
"
tape,t a p e,"Input: tape Answer: t a p e
"
ashore,a s h o r e,"Input: ashore Answer: a s h o r e
"
weakening,w e a k e n i n g,"Input: weakening Answer: w e a k e n i n g
"
stretch,s t r e t c h,"Input: stretch Answer: s t r e t c h
"
divorce,d i v o r c e,"Input: divorce Answer: d i v o r c e
"
motor,m o t o r,"Input: motor Answer: m o t o r
"
pursuit,p u r s u i t,"Input: pursuit Answer: p u r s u i t
"
fortress,f o r t r e s s,"Input: fortress Answer: f o r t r e s s
"
manuscript,m a n u s c r i p t,"Input: manuscript Answer: m a n u s c r i p t
"
teammate,t e a m m a t e,"Input: teammate Answer: t e a m m a t e
"
gate,g a t e,"Input: gate Answer: g a t e
"
dinner,d i n n e r,"Input: dinner Answer: d i n n e r
"
tempo,t e m p o,"Input: tempo Answer: t e m p o
"
span,s p a n,"Input: span Answer: s p a n
"
bypass,b y p a s s,"Input: bypass Answer: b y p a s s
"
chemistry,c h e m i s t r y,"Input: chemistry Answer: c h e m i s t r y
"
screenplay,s c r e e n p l a y,"Input: screenplay Answer: s c r e e n p l a y
"
manufacturing,m a n u f a c t u r i n g,"Input: manufacturing Answer: m a n u f a c t u r i n g
"
handling,h a n d l i n g,"Input: handling Answer: h a n d l i n g
"
guy,g u y,"Input: guy Answer: g u y
"
mixture,m i x t u r e,"Input: mixture Answer: m i x t u r e
"
census,c e n s u s,"Input: census Answer: c e n s u s
"
velocity,v e l o c i t y,"Input: velocity Answer: v e l o c i t y
"
examination,e x a m i n a t i o n,"Input: examination Answer: e x a m i n a t i o n
"
lift,l i f t,"Input: lift Answer: l i f t
"
trailer,t r a i l e r,"Input: trailer Answer: t r a i l e r
"
pitcher,p i t c h e r,"Input: pitcher Answer: p i t c h e r
"
skill,s k i l l,"Input: skill Answer: s k i l l
"
sword,s w o r d,"Input: sword Answer: s w o r d
"
net,n e t,"Input: net Answer: n e t
"
capturing,c a p t u r i n g,"Input: capturing Answer: c a p t u r i n g
"
cable,c a b l e,"Input: cable Answer: c a b l e
"
uniform,u n i f o r m,"Input: uniform Answer: u n i f o r m
"
bombardment,b o m b a r d m e n t,"Input: bombardment Answer: b o m b a r d m e n t
"
costume,c o s t u m e,"Input: costume Answer: c o s t u m e
"
tissue,t i s s u e,"Input: tissue Answer: t i s s u e
"
prototype,p r o t o t y p e,"Input: prototype Answer: p r o t o t y p e
"
celebration,c e l e b r a t i o n,"Input: celebration Answer: c e l e b r a t i o n
"
tornado,t o r n a d o,"Input: tornado Answer: t o r n a d o
"
promise,p r o m i s e,"Input: promise Answer: p r o m i s e
"
laboratory,l a b o r a t o r y,"Input: laboratory Answer: l a b o r a t o r y
"
craft,c r a f t,"Input: craft Answer: c r a f t
"
dozen,d o z e n,"Input: dozen Answer: d o z e n
"
marking,m a r k i n g,"Input: marking Answer: m a r k i n g
"
separation,s e p a r a t i o n,"Input: separation Answer: s e p a r a t i o n
"
feud,f e u d,"Input: feud Answer: f e u d
"
chest,c h e s t,"Input: chest Answer: c h e s t
"
revival,r e v i v a l,"Input: revival Answer: r e v i v a l
"
nickname,n i c k n a m e,"Input: nickname Answer: n i c k n a m e
"
politician,p o l i t i c i a n,"Input: politician Answer: p o l i t i c i a n
"
consumption,c o n s u m p t i o n,"Input: consumption Answer: c o n s u m p t i o n
"
cup,c u p,"Input: cup Answer: c u p
"
handle,h a n d l e,"Input: handle Answer: h a n d l e
"
harbour,h a r b o u r,"Input: harbour Answer: h a r b o u r
"
biography,b i o g r a p h y,"Input: biography Answer: b i o g r a p h y
"
deputy,d e p u t y,"Input: deputy Answer: d e p u t y
"
mixing,m i x i n g,"Input: mixing Answer: m i x i n g
"
usage,u s a g e,"Input: usage Answer: u s a g e
"
evacuation,e v a c u a t i o n,"Input: evacuation Answer: e v a c u a t i o n
"
clock,c l o c k,"Input: clock Answer: c l o c k
"
exile,e x i l e,"Input: exile Answer: e x i l e
"
seed,s e e d,"Input: seed Answer: s e e d
"
lawsuit,l a w s u i t,"Input: lawsuit Answer: l a w s u i t
"
cathedral,c a t h e d r a l,"Input: cathedral Answer: c a t h e d r a l
"
relation,r e l a t i o n,"Input: relation Answer: r e l a t i o n
"
speculation,s p e c u l a t i o n,"Input: speculation Answer: s p e c u l a t i o n
"
intent,i n t e n t,"Input: intent Answer: i n t e n t
"
debris,d e b r i s,"Input: debris Answer: d e b r i s
"
sleep,s l e e p,"Input: sleep Answer: s l e e p
"
decrease,d e c r e a s e,"Input: decrease Answer: d e c r e a s e
"
conquest,c o n q u e s t,"Input: conquest Answer: c o n q u e s t
"
mechanism,m e c h a n i s m,"Input: mechanism Answer: m e c h a n i s m
"
nose,n o s e,"Input: nose Answer: n o s e
"
vicinity,v i c i n i t y,"Input: vicinity Answer: v i c i n i t y
"
killer,k i l l e r,"Input: killer Answer: k i l l e r
"
humanity,h u m a n i t y,"Input: humanity Answer: h u m a n i t y
"
exhibit,e x h i b i t,"Input: exhibit Answer: e x h i b i t
"
conversation,c o n v e r s a t i o n,"Input: conversation Answer: c o n v e r s a t i o n
"
disorder,d i s o r d e r,"Input: disorder Answer: d i s o r d e r
"
suspension,s u s p e n s i o n,"Input: suspension Answer: s u s p e n s i o n
"
boyfriend,b o y f r i e n d,"Input: boyfriend Answer: b o y f r i e n d
"
helicopter,h e l i c o p t e r,"Input: helicopter Answer: h e l i c o p t e r
"
metre,m e t r e,"Input: metre Answer: m e t r e
"
infection,i n f e c t i o n,"Input: infection Answer: i n f e c t i o n
"
metric,m e t r i c,"Input: metric Answer: m e t r i c
"
stress,s t r e s s,"Input: stress Answer: s t r e s s
"
taste,t a s t e,"Input: taste Answer: t a s t e
"
portrait,p o r t r a i t,"Input: portrait Answer: p o r t r a i t
"
jet,j e t,"Input: jet Answer: j e t
"
acre,a c r e,"Input: acre Answer: a c r e
"
peninsula,p e n i n s u l a,"Input: peninsula Answer: p e n i n s u l a
"
attorney,a t t o r n e y,"Input: attorney Answer: a t t o r n e y
"
heir,h e i r,"Input: heir Answer: h e i r
"
roadway,r o a d w a y,"Input: roadway Answer: r o a d w a y
"
truck,t r u c k,"Input: truck Answer: t r u c k
"
bowl,b o w l,"Input: bowl Answer: b o w l
"
user,u s e r,"Input: user Answer: u s e r
"
lover,l o v e r,"Input: lover Answer: l o v e r
"
closure,c l o s u r e,"Input: closure Answer: c l o s u r e
"
wheel,w h e e l,"Input: wheel Answer: w h e e l
"
suggestion,s u g g e s t i o n,"Input: suggestion Answer: s u g g e s t i o n
"
reporting,r e p o r t i n g,"Input: reporting Answer: r e p o r t i n g
"
proof,p r o o f,"Input: proof Answer: p r o o f
"
fungus,f u n g u s,"Input: fungus Answer: f u n g u s
"
conspiracy,c o n s p i r a c y,"Input: conspiracy Answer: c o n s p i r a c y
"
attraction,a t t r a c t i o n,"Input: attraction Answer: a t t r a c t i o n
"
faculty,f a c u l t y,"Input: faculty Answer: f a c u l t y
"
reporter,r e p o r t e r,"Input: reporter Answer: r e p o r t e r
"
romance,r o m a n c e,"Input: romance Answer: r o m a n c e
"
license,l i c e n s e,"Input: license Answer: l i c e n s e
"
grass,g r a s s,"Input: grass Answer: g r a s s
"
sheep,s h e e p,"Input: sheep Answer: s h e e p
"
publicity,p u b l i c i t y,"Input: publicity Answer: p u b l i c i t y
"
parking,p a r k i n g,"Input: parking Answer: p a r k i n g
"
surge,s u r g e,"Input: surge Answer: s u r g e
"
stability,s t a b i l i t y,"Input: stability Answer: s t a b i l i t y
"
patient,p a t i e n t,"Input: patient Answer: p a t i e n t
"
noise,n o i s e,"Input: noise Answer: n o i s e
"
companion,c o m p a n i o n,"Input: companion Answer: c o m p a n i o n
"
drink,d r i n k,"Input: drink Answer: d r i n k
"
resignation,r e s i g n a t i o n,"Input: resignation Answer: r e s i g n a t i o n
"
check,c h e c k,"Input: check Answer: c h e c k
"
telephone,t e l e p h o n e,"Input: telephone Answer: t e l e p h o n e
"
preceding,p r e c e d i n g,"Input: preceding Answer: p r e c e d i n g
"
cruise,c r u i s e,"Input: cruise Answer: c r u i s e
"
roster,r o s t e r,"Input: roster Answer: r o s t e r
"
comment,c o m m e n t,"Input: comment Answer: c o m m e n t
"
tune,t u n e,"Input: tune Answer: t u n e
"
paint,p a i n t,"Input: paint Answer: p a i n t
"
insurance,i n s u r a n c e,"Input: insurance Answer: i n s u r a n c e
"
photo,p h o t o,"Input: photo Answer: p h o t o
"
cash,c a s h,"Input: cash Answer: c a s h
"
creature,c r e a t u r e,"Input: creature Answer: c r e a t u r e
"
crop,c r o p,"Input: crop Answer: c r o p
"
rice,r i c e,"Input: rice Answer: r i c e
"
diversity,d i v e r s i t y,"Input: diversity Answer: d i v e r s i t y
"
pole,p o l e,"Input: pole Answer: p o l e
"
stuff,s t u f f,"Input: stuff Answer: s t u f f
"
scholarship,s c h o l a r s h i p,"Input: scholarship Answer: s c h o l a r s h i p
"
rotation,r o t a t i o n,"Input: rotation Answer: r o t a t i o n
"
wartime,w a r t i m e,"Input: wartime Answer: w a r t i m e
"
pink,p i n k,"Input: pink Answer: p i n k
"
monastery,m o n a s t e r y,"Input: monastery Answer: m o n a s t e r y
"
reconstruction,r e c o n s t r u c t i o n,"Input: reconstruction Answer: r e c o n s t r u c t i o n
"
mill,m i l l,"Input: mill Answer: m i l l
"
spacecraft,s p a c e c r a f t,"Input: spacecraft Answer: s p a c e c r a f t
"
dual,d u a l,"Input: dual Answer: d u a l
"
egg,e g g,"Input: egg Answer: e g g
"
distinction,d i s t i n c t i o n,"Input: distinction Answer: d i s t i n c t i o n
"
commitment,c o m m i t m e n t,"Input: commitment Answer: c o m m i t m e n t
"
routing,r o u t i n g,"Input: routing Answer: r o u t i n g
"
radius,r a d i u s,"Input: radius Answer: r a d i u s
"
crest,c r e s t,"Input: crest Answer: c r e s t
"
conducting,c o n d u c t i n g,"Input: conducting Answer: c o n d u c t i n g
"
cemetery,c e m e t e r y,"Input: cemetery Answer: c e m e t e r y
"
labour,l a b o u r,"Input: labour Answer: l a b o u r
"
revenge,r e v e n g e,"Input: revenge Answer: r e v e n g e
"
exterior,e x t e r i o r,"Input: exterior Answer: e x t e r i o r
"
consequence,c o n s e q u e n c e,"Input: consequence Answer: c o n s e q u e n c e
"
expert,e x p e r t,"Input: expert Answer: e x p e r t
"
formula,f o r m u l a,"Input: formula Answer: f o r m u l a
"
runner,r u n n e r,"Input: runner Answer: r u n n e r
"
dust,d u s t,"Input: dust Answer: d u s t
"
proportion,p r o p o r t i o n,"Input: proportion Answer: p r o p o r t i o n
"
scandal,s c a n d a l,"Input: scandal Answer: s c a n d a l
"
shield,s h i e l d,"Input: shield Answer: s h i e l d
"
mansion,m a n s i o n,"Input: mansion Answer: m a n s i o n
"
electron,e l e c t r o n,"Input: electron Answer: e l e c t r o n
"
outcome,o u t c o m e,"Input: outcome Answer: o u t c o m e
"
logo,l o g o,"Input: logo Answer: l o g o
"
propaganda,p r o p a g a n d a,"Input: propaganda Answer: p r o p a g a n d a
"
transmission,t r a n s m i s s i o n,"Input: transmission Answer: t r a n s m i s s i o n
"
consideration,c o n s i d e r a t i o n,"Input: consideration Answer: c o n s i d e r a t i o n
"
autobiography,a u t o b i o g r a p h y,"Input: autobiography Answer: a u t o b i o g r a p h y
"
vegetation,v e g e t a t i o n,"Input: vegetation Answer: v e g e t a t i o n
"
rider,r i d e r,"Input: rider Answer: r i d e r
"
orchestral,o r c h e s t r a l,"Input: orchestral Answer: o r c h e s t r a l
"
depiction,d e p i c t i o n,"Input: depiction Answer: d e p i c t i o n
"
monster,m o n s t e r,"Input: monster Answer: m o n s t e r
"
punishment,p u n i s h m e n t,"Input: punishment Answer: p u n i s h m e n t
"
routine,r o u t i n e,"Input: routine Answer: r o u t i n e
"
worker,w o r k e r,"Input: worker Answer: w o r k e r
"
presidency,p r e s i d e n c y,"Input: presidency Answer: p r e s i d e n c y
"
doctrine,d o c t r i n e,"Input: doctrine Answer: d o c t r i n e
"
pound,p o u n d,"Input: pound Answer: p o u n d
"
assassination,a s s a s s i n a t i o n,"Input: assassination Answer: a s s a s s i n a t i o n
"
sum,s u m,"Input: sum Answer: s u m
"
municipal,m u n i c i p a l,"Input: municipal Answer: m u n i c i p a l
"
